epoch,train_loss,val_loss,lr
0,2.599204327633751,0.8140385622739407,0.0001
1,0.7722777813859673,0.8155927907476903,0.0001
2,0.7013746990706246,0.7548392546966504,0.0001
3,0.6755477319845493,0.6931409251324002,0.0001
4,0.6383658597762998,0.6567894750920173,0.0001
5,0.6222205394328096,0.6153101845973913,0.0001
6,0.6055010526895357,0.620455592437399,0.0001
7,0.575717429278539,0.5785462463422045,0.0001
8,0.6003008608446406,0.5644393047146342,0.0001
9,0.5785436089369018,0.5592515130613077,0.0001
10,0.5786294692410474,0.5467307834324814,0.0001
11,0.5536394235402574,0.5592772318396314,0.0001
12,0.5558703597336904,0.5356021321262797,0.0001
13,0.5718044362801517,0.5372706280964064,0.0001
14,0.5449935573210879,0.5299031874089711,0.0001
15,0.5543078885114932,0.5256251925798148,0.0001
16,0.5402149509537444,0.5159490298184902,0.0001
17,0.5527005487211728,0.5123569895069511,0.0001
18,0.5524513120027408,0.5067236112469811,0.0001
19,0.5298315332677519,0.508688463821935,0.0001
20,0.531498507588127,0.5023125571850235,0.0001
21,0.5243653994346544,0.501238540994524,0.0001
22,0.5380131354038302,0.4984443468885776,0.0001
23,0.5246618127524231,0.4989250080843542,0.0001
24,0.5445068401849013,0.4936816074158725,0.0001
25,0.5190187557007425,0.4954423202451481,0.0001
26,0.5271277099992968,0.49134389658929456,0.0001
27,0.5407672688499788,0.4896245982034526,0.0001
28,0.5204414724888865,0.4898564557459127,0.0001
29,0.5162643523952907,0.48758333680702914,0.0001
30,0.5305945178080368,0.48937346091755757,0.0001
31,0.5175539452994791,0.48958180601646906,0.0001
32,0.5083694939988308,0.4780737041271561,0.0001
33,0.5132716455929132,0.4800032391686817,0.0001
34,0.5415171877576315,0.4802367545676347,0.0001
35,0.5172047369705777,0.48142774790669873,0.0001
36,0.5091528013379688,0.47990253880644074,5e-05
37,0.5167655494160012,0.483930270583256,5e-05
38,0.525712302018141,0.4871460292759157,5e-05
